Player,Salary_Rank_2020,2015,2016,2017,2018,2019,2020
Ryan Arcidiacono,286.0,,75000.0,77250.0,1349383.0,3000000.0,3000000.0
Trey Burke,287.0,2658240.0,3386597.0,784160.0,1795015.0,229220.0,3000000.0
Aleksej Pokusevski,288.0,,,,,,2964840.0
Goga Bitadze,289.0,,,,,2816760.0,2957520.0
Lonnie Walker,290.0,,,,2360160.0,2764200.0,2895720.0
Ben McLemore,291.0,3156600.0,4008882.0,5200000.0,5460000.0,2028594.0,2893630.0
Andrew Nicholson,292.0,2380593.0,6088993.0,2844429.0,2844429.0,,2844429.0
Luka Samanic,293.0,,,,,2689920.0,2824320.0
Josh Green,294.0,,,,,,2816760.0
Kevin Huerter,295.0,,,,2250960.0,2636280.0,2761920.0
Alex Caruso,296.0,,50000.0,77250.0,77250.0,2750000.0,2750000.0
Marko Guduric,297.0,,,,,2625000.0,2750000.0
Matisse Thybulle,298.0,,,,,2582160.0,2711280.0
Saddiq Bey,299.0,,,,,,2689920.0
Josh Okogie,300.0,,,,2163600.0,2530680.0,2651040.0
Vincent Poirier,301.0,,,,,2505793.0,2619207.0
Brandon Clarke,302.0,,,,,2478840.0,2602920.0
Precious Achiuwa,303.0,,,,,,2582160.0
Marc Gasol,304.0,19689000.0,21165675.0,22642350.0,24119025.0,25595700.0,2564753.0
Carmelo Anthony,305.0,22875000.0,24559380.0,26243760.0,2393887.0,2159029.0,2564753.0
Dwight Howard,306.0,22359364.0,23500000.0,23500000.0,24256725.0,2564753.0,2564753.0
Jared Dudley,307.0,4250000.0,10470000.0,10000000.0,9530000.0,2564753.0,2564753.0
Jeff Green,308.0,9200000.0,15000000.0,2116955.0,2393887.0,840427.0,2564753.0
Udonis Haslem,309.0,2854940.0,4000000.0,2328652.0,2393887.0,2564753.0,2564753.0
Jose Juan Barea,310.0,4290000.0,4096950.0,3903900.0,3710850.0,2564753.0,2564753.0
Grayson Allen,311.0,,,,2076960.0,2429400.0,2545320.0
Grant Williams,312.0,,,,,2379840.0,2498760.0
Tyrese Maxey,313.0,,,,,,2478840.0
Chandler Hutchison,314.0,,,,1991520.0,2332320.0,2443440.0
Mfiondu Kabengele,315.0,,,,,1977000.0,2432353.0
Darius Bazley,316.0,,,,,2284800.0,2399160.0
Moritz Wagner,317.0,,,,1764240.0,2063520.0,2383915.0
Zeke Nnaji,318.0,,,,,,2379840.0
Aaron Holiday,319.0,,,,1914480.0,2239200.0,2345640.0
Bryn Forbes,320.0,,543471.0,1312611.0,3125000.0,2875000.0,2337145.0
Reggie Jackson,321.0,13913044.0,14956522.0,16000000.0,17043478.0,512721.0,2331593.0
Markieff Morris,322.0,8000000.0,7400000.0,8000000.0,9173294.0,2259887.0,2331593.0
E'Twaun Moore,323.0,1015421.0,8801363.0,8445024.0,8808685.0,8664928.0,2331593.0
Hassan Whiteside,324.0,981348.0,22116750.0,23775506.0,24434262.0,27093018.0,2320044.0
Kent Bazemore,325.0,2000000.0,15730337.0,16910112.0,18089888.0,19269663.0,2320044.0
Ty Jerome,326.0,,,,,2193480.0,2303040.0
Mike Muscala,327.0,947276.0,1015696.0,5000000.0,5000000.0,2028594.0,2283034.0
Anfernee Simons,328.0,,,,1837800.0,2149560.0,2252040.0
Luke Kornet,329.0,,,77250.0,1619260.0,2250000.0,2250000.0
